months,1997,1998,1999,2000,2001,2002,2003,2004
jan,135412302,81430869,116265036,69871762,179381719,145323647,184307871,220958903
feb,54252959,56626703,66351898,95646687,119873457,85170361,118457295,180482137
mar,154169733,104592643,42558321,91982649,129219689,79607562,120105350,233738371
apr,326479371,174751079,82111862,124381207,117371236,122581539,127826147,178509640
may,348554397,228350965,168018571,195575323,198441564,111072229,223688170,297361085
jun,365651484,221883284,157772425,161295879,186017934,124515200,266875060,524924088
jul,356368012,163419350,137640082,172245449,145773093,248707715,189862495,289848073
aug,330747795,147447364,111152691,174779636,193351104,197186934,276068196,229423879
sep,279481450,193813061,129965335,108709421,172129092,395592129,289258314,349097910
oct,183362729,112906616,179125507,159609433,215095830,294932766,271216471,261800729
nov,75119264,117731397,113709552,162039297,178270341,193097331,196059414,193157546
dec,134488460,95585662,155539917,93440857,139454369,146594924,280525761,167202022
