USA;1950;0,617147863
USA;1951;0,629588425
USA;1952;0,638451338
USA;1953;0,651858211
USA;1954;0,646179438
USA;1955;0,668772936
USA;1956;0,660999894
USA;1957;0,662164807
USA;1958;0,654812515
USA;1959;0,6806795
USA;1960;0,678122818
USA;1961;0.6806922554969788
USA;1962;0.7000679969787598
USA;1963;0.709036111831665
USA;1964;0.7232545614242554
USA;1965;0.7401488423347473
USA;1966;0.7561739087104797
USA;1967;0.7483883500099182
USA;1968;0.7585538625717163
USA;1969;0.7544527053833008
USA;1970;0.7398825287818909
USA;1971;0.7519034147262573
USA;1972;0.7642947435379028
USA;1973;0.7768552899360657
USA;1974;0.7502252459526062
USA;1975;0.7439113259315491
USA;1976;0.7571526169776917
USA;1977;0.7623404264450073
USA;1978;0.7705070972442627
USA;1979;0.76779937744140625
USA;1980;0.7530056834220886
USA;1981;0.7591724991798401
USA;1982;0.7426289916038513
USA;1983;0.7630539536476135
USA;1984;0.7880086898803711
USA;1985;0.8002187609672546
USA;1986;0.8062083125114441
USA;1987;0.808937132358551
USA;1988;0.8211951851844788
USA;1989;0.8304957151412964
USA;1990;0.8322657942771912
USA;1991;0.828066885471344
USA;1992;0.8461574912071228
USA;1993;0.8543828725814819
USA;1994;0.8667795658111572
USA;1995;0.869562566280365
USA;1996;0.8842038512229919
USA;1997;0.9001898765563965
USA;1998;0.918917179107666
USA;1999;0.9413750767707825
USA;2000;0.9594316482543945
USA;2001;0.9578253030776978
USA;2002;0.966916561126709
USA;2003;0.975909948348999
USA;2004;0.9920576810836792
USA;2005;1
USA;2006;10.040.003.061.294.500
USA;2007;1.006.595.253.944.390
USA;2008;0.9984992742538452
USA;2009;0.9867377877235413
USA;2010;10.094.630.718.231.200
USA;2011;1.020.391.821.861.260
