months,1997,1998,1999,2000,2001,2002,2003,2004
jan,4118740,100892932,9115549,10582379,51559128,28932451,67100363,102651041
feb,20506092,28020757,28385880,9698070,21199260,19884035,49978848,107097888
mar,163562788,110040234,89711489,101442551,142775044,117201676,261044395,369144709
apr,500849763,436426037,284017829,301645648,310034381,254498976,583241161,488980755
may,500300284,426530313,306570512,319626858,395052908,205341216,665001547,638967882
jun,416350939,331718292,241293625,341236031,416271767,207282491,513166783,1000105691
jul,524172876,259199891,198863928,339767736,340815520,489167552,416199396,619992329
aug,305928975,191462073,134287958,372795797,441679009,318643435,516636036,543494716
sep,113591590,210865275,119898736,156817664,263882554,766463296,441261516,603192894
oct,39698661,87425768,62768984,115852881,174465332,344659283,476275006,236486368
nov,20561321,41288737,36944741,74597375,48317150,109629120,127884700,111361353
dec,58089452,14153807,16781773,26145247,51963749,129398244,76347974,88872498
