isocode,year,rtfpna,isocode,year,rtfpna,isocode,year,rtfpna
USA,1950,0.6171478629112244,CAN,1950,0.8433347940444946,MEX,1950,0.7981593012809753
USA,1951,0.6295884251594543,CAN,1951,0.855122983455658,MEX,1951,0.860931396484375
USA,1952,0.638451337814331,CAN,1952,0.8964892625808716,MEX,1952,0.87696772813797
USA,1953,0.6518582105636597,CAN,1953,0.9106582403182983,MEX,1953,0.8552044630050659
USA,1954,0.6461794376373291,CAN,1954,0.875177800655365,MEX,1954,0.9291679263114929
USA,1955,0.6687729358673096,CAN,1955,0.9276822209358215,MEX,1955,0.9818485975265503
USA,1956,0.6609998941421509,CAN,1956,0.97986900806427,MEX,1956,1.0271602869033813
USA,1957,0.6621648073196411,CAN,1957,0.9697281122207642,MEX,1957,1.0740375518798828
USA,1958,0.6548125147819519,CAN,1958,0.9599283933639526,MEX,1958,1.0915502309799194
USA,1959,0.6806795001029968,CAN,1959,0.974204957485199,MEX,1959,1.0855638980865479
USA,1960,0.6781228184700012,CAN,1960,0.931278645992279,MEX,1960,1.1482443809509277
USA,1961,0.6806922554969788,CAN,1961,0.9287078976631165,MEX,1961,1.129815697669983
USA,1962,0.7000679969787598,CAN,1962,0.9567107558250427,MEX,1962,1.1326359510421753
USA,1963,0.709036111831665,CAN,1963,0.9730290174484253,MEX,1963,1.1914269924163818
USA,1964,0.7232545614242554,CAN,1964,0.9932155013084412,MEX,1964,1.2908802032470703
USA,1965,0.7401488423347473,CAN,1965,1.009907603263855,MEX,1965,1.2937291860580444
USA,1966,0.7561739087104797,CAN,1966,1.0163369178771973,MEX,1966,1.30258047580719
USA,1967,0.7483883500099182,CAN,1967,1.003263235092163,MEX,1967,1.306867003440857
USA,1968,0.7585538625717163,CAN,1968,1.0223480463027954,MEX,1968,1.3471068143844604
USA,1969,0.7544527053833008,CAN,1969,1.03248131275177,MEX,1969,1.331274151802063
USA,1970,0.7398825287818909,CAN,1970,1.0338034629821777,MEX,1970,1.3517636060714722
USA,1971,0.7519034147262573,CAN,1971,1.0374722480773926,MEX,1971,1.332947015762329
USA,1972,0.7642947435379028,CAN,1972,1.0507104396820068,MEX,1972,1.3607896566390991
USA,1973,0.7768552899360657,CAN,1973,1.0653431415557861,MEX,1973,1.3837183713912964
USA,1974,0.7502252459526062,CAN,1974,1.0532701015472412,MEX,1974,1.3739711046218872
USA,1975,0.7439113259315491,CAN,1975,1.0384669303894043,MEX,1975,1.3531204462051392
USA,1976,0.7571526169776917,CAN,1976,1.0364397764205933,MEX,1976,1.3270817995071411
USA,1977,0.7623404264450073,CAN,1977,1.0381832122802734,MEX,1977,1.3015443086624146
