months,1997,1998,1999,2000,2001,2002,2003,2004
jan,41311398,29926343,57606795,15459269,30871181,29606933,111213431,93478545
feb,24131677,25170556,48852743,13348015,12766095,28687416,57874970,96336336
mar,15176561,34669073,54606862,21998884,34048343,23588493,59696354,110391935
apr,86514805,102880932,63358732,32954649,38390403,28884506,71394068,72308634
may,85257501,71584377,101130946,42442802,33557521,41473174,104464231,88157644
jun,108918583,146293469,125541674,42763666,49623657,34357751,94915809,243975943
jul,100976359,151165546,18578911,40178694,35315008,82262396,114791922,147038576
aug,60188493,87428582,72792005,58323788,67598257,54191930,129284548,179941595
sep,69456642,91087071,43196902,26981470,47486773,209586867,100292469,124099985
oct,25177302,42178953,82559935,17576501,48312558,140556445,141178075,60192622
nov,16879976,82390258,18945890,39570190,52283993,91604093,87577484,91746789
dec,27084490,61650588,53767426,38518332,42422371,29030241,125392433,80942339
