year,rtfpna
1950,0.8433347940444946
1951,0.855122983455658
1952,0.8964892625808716
1953,0.9106582403182983
1954,0.875177800655365
1955,0.9276822209358215
1956,0.97986900806427
1957,0.9697281122207642
1958,0.9599283933639526
1959,0.974204957485199
1960,0.931278645992279
1961,0.9287078976631165
1962,0.9567107558250427
1963,0.9730290174484253
1964,0.9932155013084412
1965,1.009907603263855
1966,1.0163369178771973
1967,1.003263235092163
1968,1.0223480463027954
1969,1.03248131275177
1970,1.0338034629821777
1971,1.0374722480773926
1972,1.0507104396820068
1973,1.0653431415557861
1974,1.0532701015472412
1975,1.0384669303894043
1976,1.0364397764205933
1977,1.0381832122802734
1978,1.035278558731079
1979,1.0218113660812378
1980,1.003521203994751
1981,1.0036829710006714
1982,0.9832258820533752
1983,0.993445098400116
1984,1.0219427347183228
1985,1.0362533330917358
1986,1.0207436084747314
1987,1.023545742034912
1988,1.0308436155319214
1989,1.022287368774414
1990,1.0007789134979248
1991,0.9740902185440063
1992,0.976438581943512
1993,0.9845812916755676
1994,1.0047389268875122
1995,1.0084209442138672
1996,1.0057704448699951
1997,1.0173662900924683
1998,1.0255228281021118
1999,1.0469565391540527
2000,1.0661041736602783
2001,1.05035400390625
2002,1.0394744873046875
2003,1.0165166854858398
2004,1.0086925029754639
2005,1
2006,0.99513179063797
2007,0.9814327955245972
2008,0.9583569765090942
2009,0.9264822006225586
2010,0.9325665831565857
2011,0.9294053912162781
